>Refrigerated
ice cream,250
frozen meat,550
>Refrigerated
frozen meat,25
fish,125
frozen vegetable mix,325
ice,325
>Refrigerated
fish,350
beef,450
>Refrigerated
yoghurt,325
milk,375
beef,100
>Refrigerated
chicken,300
milk,50
cheese,450
>Refrigerated
chicken,125
celery,350
asparagus,275
grapes,50
>Refrigerated
mushrooms,325
tomatoes,300
grapes,175
>Refrigerated
tomatoes,100
lettuce,350
>Ordinary
beans,525
pasta,175
rice,300
>Ordinary
biscuits,575
chips,100
nuts,250
pasta,75
>Ordinary
bread,200
chips,100
chocolate,375
